item_id,groundedness,resolution_fit,brand_voice,safety_scope
g000,5.0,5.0,5.0,5.0
g001,5.0,5.0,5.0,5.0
g002,5.0,5.0,5.0,5.0
g003,5.0,5.0,5.0,5.0
g004,,,,
g005,5.0,5.0,5.0,5.0
g006,5.0,5.0,5.0,5.0
g007,5.0,5.0,5.0,5.0
g008,,,,
g009,5.0,5.0,5.0,5.0
g010,5.0,5.0,5.0,5.0
g011,5.0,5.0,5.0,5.0
g012,5.0,5.0,5.0,5.0
g013,5.0,5.0,5.0,5.0
g014,5.0,5.0,5.0,5.0
g015,5.0,5.0,5.0,5.0
g016,5.0,5.0,5.0,5.0
g017,5.0,5.0,5.0,5.0
g018,3.0,5.0,5.0,5.0
g019,5.0,5.0,5.0,5.0
g020,5.0,5.0,5.0,5.0
g021,5.0,5.0,5.0,5.0
g022,5.0,1.0,5.0,5.0
g023,5.0,5.0,5.0,5.0
g024,5.0,5.0,5.0,5.0
g025,,,,
g026,5.0,5.0,5.0,5.0
g027,5.0,5.0,5.0,5.0
g028,5.0,5.0,5.0,5.0
g029,5.0,3.0,5.0,5.0
g030,5.0,5.0,5.0,5.0
g031,5.0,5.0,5.0,5.0
g032,5.0,5.0,5.0,5.0
g033,5.0,5.0,5.0,5.0
g034,5.0,5.0,5.0,5.0
g035,5.0,5.0,5.0,5.0
g036,5.0,5.0,5.0,5.0
g037,5.0,3.0,5.0,5.0
g038,5.0,5.0,5.0,5.0
g039,5.0,5.0,5.0,5.0
g040,5.0,5.0,5.0,5.0
g041,5.0,5.0,5.0,5.0
g042,5.0,5.0,5.0,5.0
g043,5.0,5.0,5.0,5.0
g044,,,,
g045,5.0,1.0,5.0,5.0
g046,5.0,3.0,5.0,5.0
g047,5.0,5.0,5.0,5.0
g048,5.0,5.0,5.0,5.0
g049,5.0,5.0,5.0,5.0
g050,5.0,5.0,5.0,5.0
g051,,,,
g052,5.0,5.0,5.0,5.0
g053,5.0,5.0,5.0,5.0
g054,5.0,5.0,5.0,5.0
g055,5.0,5.0,5.0,5.0
g056,5.0,5.0,5.0,5.0
g057,5.0,5.0,5.0,5.0
g058,5.0,5.0,5.0,5.0
g059,5.0,5.0,5.0,5.0
g060,5.0,5.0,5.0,5.0
g061,5.0,1.0,5.0,5.0
g062,5.0,5.0,5.0,5.0
g063,5.0,5.0,5.0,5.0
g064,5.0,3.0,5.0,5.0
g065,5.0,5.0,5.0,5.0
g066,5.0,5.0,5.0,5.0
g067,5.0,5.0,5.0,5.0
g068,5.0,5.0,5.0,5.0
g069,5.0,5.0,5.0,5.0
g070,4.0,5.0,5.0,5.0
g071,,,,
g072,5.0,5.0,5.0,5.0
g073,5.0,5.0,5.0,5.0
g074,5.0,5.0,5.0,5.0
g075,,,,
g076,,,,
g077,5.0,5.0,5.0,5.0
g078,5.0,5.0,5.0,5.0
g079,5.0,5.0,5.0,5.0
g080,5.0,5.0,5.0,5.0
g081,5.0,5.0,5.0,5.0
g082,5.0,5.0,5.0,5.0
g083,5.0,3.0,5.0,5.0
g084,5.0,5.0,5.0,5.0
g085,5.0,5.0,5.0,5.0
g086,,,,
g087,5.0,3.0,5.0,5.0
g088,5.0,5.0,5.0,5.0
g089,5.0,5.0,5.0,5.0
g090,5.0,5.0,5.0,5.0
g091,,,,
g092,5.0,5.0,5.0,5.0
g093,,,,
g094,5.0,5.0,5.0,5.0
g095,5.0,5.0,5.0,5.0
g096,5.0,1.0,5.0,5.0
g097,5.0,5.0,5.0,5.0
g098,5.0,5.0,5.0,5.0
g099,5.0,5.0,5.0,5.0
g100,5.0,5.0,5.0,5.0
g101,5.0,5.0,5.0,5.0
g102,5.0,5.0,5.0,5.0
g103,5.0,5.0,5.0,5.0
g104,5.0,5.0,5.0,5.0
g105,5.0,5.0,5.0,5.0
g106,5.0,5.0,5.0,5.0
g107,5.0,5.0,5.0,5.0
g108,5.0,3.0,5.0,5.0
g109,5.0,5.0,5.0,5.0
g110,5.0,5.0,5.0,5.0
g111,5.0,5.0,5.0,5.0
g112,5.0,5.0,5.0,5.0
g113,5.0,5.0,5.0,5.0
g114,5.0,5.0,5.0,5.0
g115,5.0,5.0,5.0,5.0
g116,5.0,5.0,5.0,5.0
g117,5.0,5.0,5.0,5.0
g118,5.0,5.0,5.0,5.0
g119,5.0,1.0,5.0,5.0
g120,5.0,5.0,5.0,5.0
g121,4.0,5.0,5.0,5.0
g122,5.0,5.0,5.0,5.0
g123,5.0,4.0,5.0,5.0
g124,5.0,5.0,5.0,5.0
g125,,,,
g126,5.0,5.0,5.0,5.0
g127,5.0,5.0,5.0,5.0
g128,5.0,5.0,5.0,5.0
g129,5.0,3.0,5.0,5.0
g130,5.0,5.0,5.0,5.0
g131,5.0,5.0,5.0,5.0
g132,5.0,5.0,5.0,5.0
g133,5.0,5.0,5.0,5.0
g134,5.0,5.0,5.0,5.0
g135,5.0,5.0,5.0,5.0
g136,5.0,5.0,5.0,5.0
g137,5.0,5.0,5.0,5.0
g138,5.0,3.0,5.0,5.0
g139,5.0,5.0,5.0,5.0
g140,5.0,5.0,5.0,5.0
g141,5.0,5.0,5.0,5.0
g142,5.0,5.0,5.0,5.0
g143,5.0,5.0,5.0,5.0
g144,5.0,5.0,5.0,5.0
g145,5.0,5.0,5.0,5.0
g146,5.0,5.0,5.0,5.0
g147,5.0,5.0,5.0,5.0
g148,5.0,5.0,5.0,5.0
g149,5.0,5.0,5.0,5.0
g150,5.0,5.0,5.0,5.0
g151,5.0,5.0,5.0,5.0
g152,5.0,5.0,5.0,5.0
g153,5.0,3.0,5.0,5.0
g154,5.0,5.0,5.0,5.0
g155,5.0,5.0,5.0,5.0
g156,5.0,5.0,5.0,5.0
g157,5.0,5.0,5.0,5.0
g158,5.0,5.0,5.0,5.0
g159,5.0,5.0,5.0,5.0
g160,5.0,5.0,5.0,5.0
g161,4.0,5.0,5.0,5.0
g162,5.0,5.0,5.0,5.0
g163,5.0,5.0,5.0,5.0
g164,5.0,5.0,5.0,5.0
g165,5.0,5.0,5.0,5.0
g166,5.0,5.0,5.0,5.0
g167,5.0,5.0,5.0,5.0
g168,5.0,5.0,5.0,5.0
g169,5.0,3.0,5.0,5.0
g170,5.0,5.0,5.0,5.0
g171,5.0,3.0,5.0,5.0
g172,5.0,5.0,5.0,5.0
g173,5.0,1.0,5.0,5.0
g174,5.0,5.0,5.0,5.0
g175,5.0,5.0,5.0,5.0
g176,5.0,5.0,5.0,5.0
g177,5.0,5.0,5.0,5.0
g178,5.0,5.0,5.0,5.0
g179,5.0,5.0,5.0,5.0
g180,5.0,5.0,5.0,5.0
g181,5.0,5.0,5.0,5.0
g182,5.0,1.0,5.0,5.0
g183,5.0,5.0,5.0,5.0
g184,5.0,5.0,5.0,5.0
g185,5.0,5.0,5.0,5.0
g186,5.0,5.0,5.0,5.0
g187,5.0,5.0,5.0,5.0
g188,5.0,5.0,5.0,5.0
g189,5.0,1.0,5.0,5.0
g190,5.0,5.0,5.0,5.0
g191,5.0,5.0,5.0,5.0
g192,5.0,5.0,5.0,5.0
g193,5.0,5.0,5.0,5.0
g194,5.0,5.0,5.0,5.0
g195,5.0,3.0,5.0,5.0
g196,5.0,5.0,5.0,5.0
g197,5.0,5.0,5.0,5.0
g198,5.0,5.0,5.0,5.0
g199,5.0,5.0,5.0,5.0
