item_id,message,intent,reply,evidence,groundedness,resolution_fit,brand_voice,safety_scope,rater
g147,"Hi Spotify, you accidentally charged me 5 times can you please help me resolve this issue please? Thanks.",billing_subscription,Hey there! Help's here. Can you DM us your account's email address? We'll see what we can suggest: [link:ldFdZRiNAt],"[""Sorry to hear you feel that way. We're afraid we're unable to compensate you, but rest assured we'll pass on your feedback to the right team"", ""Hey Jimmy! If you cancel the free trial before it expires, you won't get charged. You can find the steps here: [link:vQ84Itly5L]"", ""Hi, help's here! What's happening when you apply for the student discount? Could you also DM us your email & username? Keep us posted /JQ [link:ldFdZRiNAt]"", ""Hey Richard! We'll help out, don't worry. Could you try clearing your browser's cache/cookies and refreshing? Let us know how it goes"", 'Hey there! What Windows and Spotify version are you using? Also, does restarting your PC helps at all? Keep us posted']",5,4,5,5,claude-fable-5.1 (not a human)
g001,"So my Spotify got hacked. And by creating playlist me and the New ""buyer"" communicated. Turns out he paid 5$ for unlimited access to my account. Plz explain this??",account_access,Hey! We're sorry to hear that. This is definitely something for our Accounts team. You can reach them at [link:ZgU70TbP8M],"[""Hey! Don't worry, you can use the same account when joining a Premium for Family plan. More info at [link:LESfq9LesY]"", ""Hey Nat, we're sorry to hear that. This is something for our Accounts team. You can reach them at [link:ZgU70TbP8M]"", 'Thanks for the update! Can you try signing up again using an incognito window/different browser? Let us know how that goes /TF [link:ldFdZRiNAt]', ""Hey, sorry to hear that. We don't have telephone support at the moment, but you can head to [link:QHn3ok8y2n] for what to do next"", 'Sorry about the confusion there! Just follow the steps in the link we sent. That should sort things out']",5,5,5,5,claude-fable-5.1 (not a human)
g135,What happened here? I can’t listen to that Song.,content_availability,Hey there! Some content may become unavailable due to licensing agreements. There's more info about it here: [link:0i8GpimuDa],"[""Hey Daniel! Some content may become unavailable due to licensing agreements. There's more info about it here: [link:0i8GpimuDa]"", ""We hear you! Rest assured, we're looking into this as we type. We'll have it available to you as soon as it's available to us. Thanks for bearing with us"", ""Hmm. Is this happening over WiFi, mobile data, or offline mode? We'll dig deeper"", ""We understand. We'll be sure to have it available to you as soon as it's available again to us"", ""Hey! Fingers crossed we'll be able to have it again soon, but there's info about Spotify content here: [link:0i8GpimuDa]""]",5,4,5,5,claude-fable-5.1 (not a human)
g013,I wish had mixtapes,content_availability,Hey there! We've got some info about mixtapes here: [link:MEjmIRL2eB],"['Hey there! We’ve got some info about mixtapes here: [link:MEjmIRL2eB]', 'Hi Cooper! We’d love to have all of his stuff available, but we have some info about Spotify content here: [link:0i8GpimuDa]', 'Hey there! We’ll have it available to you as soon as it’s available to us. We have more info about this here: [link:0i8GpimuDa]', ""Hey there! Fingers crossed we'll be able to have it soon, but there's info about Spotify content here: [link:0i8GpimuDa]"", 'Hey! We’ll have it available to you as soon as it’s available to us. [link:0i8GpimuDa]']",5,5,5,5,claude-fable-5.1 (not a human)
g173,How do I setup w GoogleHome so after playing a specific song it continues to play songs by that artist.,playback_app_bug,"Hey there! Can you let us know the device, operating system, and Spotify version you're using? We'll see what we can suggest.","[""Hi there! What operating system and internet browser are you using at the moment? We'll see what we can suggest"", 'Hey there! Does logging out, restarting your device, and logging back in help at all? Let us know how it goes', 'Hey there! Can you try using an incognito window or a different browser to see if it helps? Let us know how it goes', ""Hey! We're afraid this isn't possible right now, but we'll be sure to pass on your feedback"", ""Hey Elias, help's here! Does logging out > restarting the device > logging back in help? Keep us posted""]",4,2,5,5,claude-fable-5.1 (not a human)
g167,"Hello guys, when will Spotify be available in South Africa, I've waited long enough 😢😢😢😢",content_availability,Hey there! We're launching in new countries as often as possible. Be sure to add your email at [link:X8DVSX9QgM] 🙂,"[""Hey Cléa! We're launching in new countries as often as possible. Be sure to add your email at [link:X8DVSX9QgM] 🙂"", ""Hey there! We're launching in new countries as often as possible. Be sure to add your email at [link:X8DVSX9QgM]"", ""Hey! We'd love to be there in the future. Be sure to add your email at [link:X8DVSX9QgM]"", ""Hey! We don't have any info regarding that. Don't you worry, we're launching regularly in countries around the world. Sign up here to be first to hear: [link:XDwWzj7cLP]. If you have any other questions, you know where to reach us"", ""Hey there! We don't have a target date yet, but we're launching regularly in countries around the world. Be sure to add your email at [link:X8DVSX9QgM]. Give us a shout if we can help with anything else""]",5,5,5,5,claude-fable-5.1 (not a human)
g009,"Waarom worden m’n afspeellijsten steeds opnieuw gedownload als ik Spotify open? Wil straks offline luisteren in het vliegtuig, moet ik dan vlak te voren eerst weer alles downloaden voordat ik offline kan luisteren? #weird",offline_downloads,"Hey there! We can help out in English via Twitter, but we also have Dutch support via email at [link:ZgU70TbP8M]. Let us know how you'd like to proceed","['Hey there! We can help out in English via Twitter, but we also have Dutch support via email at [link:ZgU70TbP8M]', ""Hey Eleen! We can help out in English via Facebook, but we also have Dutch support through email at [link:ZgU70TbP8M]. Let us know how you'd like to proceed"", 'Hey Följa! We can help out in English via Twitter, but we also have Swedish support via email at [link:ZgU70TbP8M]', 'Got it. Does logging out > restarting your phone > logging back in help at all? Keep us posted', 'Hey! We can help out in English via Twitter, but we also have Indonesian support via email at [link:ZgU70TbP8M]']",5,5,5,5,claude-fable-5.1 (not a human)
g169,"Hi, I have a full Spotify service and it’s saying it is signed into my sonos but when I try to play it on my sonos system I am getting this message",playback_app_bug,"Hi there! Does logging out, restarting your device, and logging back into Spotify help with this? Keep us posted","[""Hey Anthony, the cavalry's here! Does logging out, restarting your device, and logging back into Spotify help? Keep us posted"", 'Thanks! Does logging out > restarting the device > logging back in help? Keep us posted', 'Can you try the steps here for us: [link:EqisDMwZAT]? Let us know if the issue persists', ""Hey Jo! There's some info about using Sonos with Connect here: [link:0NvBNHPIvI]. Let us know if you have any questions"", ""Hey, help's here. We have some handy info about Spotify and PlayStation here: [link:R4DFcfsCY3]. Give us a shout if you have any questions""]",5,4,5,5,claude-fable-5.1 (not a human)
g099,just so you know...the Stranger Things Mode doesn’t work on all of the Stranger Things albums (only the first one.) Might wanna look at that since paid you good money for that 👀🌚🙊 Aren’t you supposed to be promoting the second season???,content_availability,Hey there! That's odd. Does logging out > restarting the device > logging back in help? Keep us posted,"[""Hmm, that's odd. Thanks for giving that a shot for us! Does logging out > restarting the device > logging back in help? Keep us posted"", ""Hey! Sometimes content gets removed due to licensing changes. Hopefully we'll have it back soon. Check this out: [link:0i8GpimuDa]"", ""We understand. We'll be sure to have it available to you as soon as it's available again to us"", ""Hmm. Is this happening over WiFi, mobile data, or offline mode? We'll dig deeper"", 'Hey Casey! We’d love to have all of her stuff available, but we have some info about content here: [link:0i8GpimuDa]']",5,3,5,5,claude-fable-5.1 (not a human)
g022,"do you offer an annual plan? If not, you should offer it at a discounted rate like Apple does. I would buy it.",feature_request_feedback,"Hey! Can you let us know the device, operating system, and Spotify version you're using? We'll see what we can suggest","[""Hey there! Check out the official idea and add your vote to let our devs know it's something you'd like to see: [link:SEK4E4gi22]"", ""Hey John! It isn't possible just yet to pay for an entire year of Premium for Family at once, but you can sign up for a monthly subscription at [link:IHblzM5Bnn]"", ""Hey Jordan! We currently don't offer 12 months for the price of 10 on our Premium for Family subscription. Can you DM us your account's username or email address? We'll see what we can suggest /PC [link:ldFdZRiNAt]"", ""Hey Kurt! We're afraid it's not possible to register for a full year of the Family plan with this discounted price. Hope this clears things up. Any questions, just give us a shout"", ""No worries! In the meantime, we'll let the right team know that a yearly Premium for Family subscription is something you'd like to see. Give us a shout if you have any other questions 🙂""]",3,1,5,5,claude-fable-5.1 (not a human)
