item_id,thread_id,created_at,sample_strategy,customer_raw,customer_clean,historical_reply,intent,escalate,escalate_reason,notes,labeler
g000,602851,2017-12-03 21:30:33+00:00,stratified,@SpotifyCares hello - do you have any plans to carry the @127588 #podcasts? I would love to get all my podcasts just from you and this would really help.,hello - do you have any plans to carry the #podcasts? I would love to get all my podcasts just from you and this would really help.,"Hey, help's arrived! We've just replied to your DM. Let's carry on chatting there",content_availability,n,,,claude-draft (review each row)
g001,2456300,2017-11-15 03:53:21+00:00,stratified,"@SpotifyCares  So my Spotify got hacked. And by creating playlist me and the New ""buyer"" communicated. Turns out he paid 5$ for unlimited access to my account. Plz explain this??","So my Spotify got hacked. And by creating playlist me and the New ""buyer"" communicated. Turns out he paid 5$ for unlimited access to my account. Plz explain this??","Hey Simen, we’re sorry to hear that. We'd suggest checking out [link:QHn3ok8y2n] for what to do next",account_access,y,,,claude-draft (review each row)
g002,560975,2017-12-02 13:01:59+00:00,random_uniform,.@117168 @115888 @SpotifyCares when are we getting our year in music for 2017?,. when are we getting our year in music for 2017?,"Hey there! We don't have any specific info on it right now, but keep your eyes peeled for more info in the coming weeks 👀",feature_request_feedback,n,,,claude-draft (review each row)
g003,1203966,2017-10-15 15:31:21+00:00,stratified,@115888 pissed to discover there's a download limit. Seems unfair to pay for a service that's supposed to provide all music and just don't.,pissed to discover there's a download limit. Seems unfair to pay for a service that's supposed to provide all music and just don't.,Hey! Thanks for the feedback – we appreciate it. We’ll get this passed onto the right team,offline_downloads,n,,,claude-draft (review each row)
g004,506054,2017-12-01 18:56:23+00:00,stratified,"@8490 Hi I went on my app and was offered a deal 12 months for €99, I went later to get the offer and I cant find it. Is it possible to redeem the offer or am I too late? Thanks","Hi I went on my app and was offered a deal 12 months for €99, I went later to get the offer and I cant find it. Is it possible to redeem the offer or am I too late? Thanks",Hey Laura! Can you send us your account's email address or username via DM? We'll take a look backstage /JE [link:ldFdZRiNAt],billing_subscription,y,,,claude-draft (review each row)
g005,1075671,2017-10-23 15:02:58+00:00,random_uniform,@117168 @SpotifyCares please help me get a job at your NY office. Thanks!,I really really really want to work for 😭😭😭😭 its like a dream job,"Hey there! For more information about jobs, head here: [link:c1Z94oBFOl]. Hope that helps",other,n,,,claude-draft (review each row)
g006,1112064,2017-10-14 01:57:09+00:00,random_uniform,@115888 please please please put @47896 version of Heroes that was in the recent Justice League Trailer on Spotify that,please please please put version of Heroes that was in the recent Justice League Trailer on Spotify that,"Hey there! Just to check, what country is your Spotify account currently set to?",content_availability,n,,,claude-draft (review each row)
g007,2300066,2017-10-19 20:22:44+00:00,stratified,@116130 @SpotifyCares Thank you LP whoever you are for getting me back online so quickly! This is how customer care should be! https://t.co/O3nKSlAD7o,Thank you LP whoever you are for getting me back online so quickly! This is how customer care should be!,"Aw, you've made us blush a little. We've sent a reply over to your DM. Let's carry on chatting there 🙂",feature_request_feedback,n,,,claude-draft (review each row)
g008,2195258,2017-10-19 05:10:51+00:00,stratified,"#spotifycares @SpotifyCares 48 hours have passed, still no response! What exactly do you care about? This is a joke!","#spotifycares 48 hours have passed, still no response! What exactly do you care about? This is a joke!","Apologies for not getting back to you sooner. We've replied via DM, let's keep chatting there /M [link:ldFdZRiNAt]",other,y,,,claude-draft (review each row)
g009,2218769,2017-11-10 11:17:56+00:00,stratified,"@131098 Waarom worden m’n afspeellijsten steeds opnieuw gedownload als ik Spotify open? Wil straks offline luisteren in het vliegtuig, moet ik dan vlak te voren eerst weer alles downloaden voordat ik offline kan luisteren? #weird","Waarom worden m’n afspeellijsten steeds opnieuw gedownload als ik Spotify open? Wil straks offline luisteren in het vliegtuig, moet ik dan vlak te voren eerst weer alles downloaden voordat ik offline kan luisteren? #weird","Hi Rowan! We can help out in English via Twitter, but we also have Dutch support via email at [link:ZgU70TbP8M]",unhandleable,y,,non-English (Dutch),claude-draft (review each row)
g010,2043185,2017-10-04 13:56:31+00:00,stratified,Why pay for @115888 when it wont let me log on !!!!!!,Why pay for when it wont let me log on !!!!!!,"Hey Rebecca, help's here! Could you send us some details about what's happening, along with any error messages you're seeing?",account_access,n,,,claude-draft (review each row)
g011,2653191,2017-11-19 03:13:22+00:00,stratified,"@SpotifyCares hi. I want to leave my family plan, but i cant contact the moderator. Please help me. Thank you","hi. I want to leave my family plan, but i cant contact the moderator. Please help me. Thank you",Hey there! Can you DM us your account's email address? We'll take a look backstage /MG [link:ldFdZRiNAt],family_plan,n,,,claude-draft (review each row)
g012,389443,2017-10-08 21:34:55+00:00,stratified,@SpotifyCares @83197 @115890 @115888 @SpotifyCares - Shame on u all for making groove music customers move to this unusable app! #premiumuser,"- Spotify, i've had your premium service on Windows phone for 3 or 4 days now. None of these days have i had no crashes.","Hey! Can you DM us your account's username, or email address? We'll see what we can suggest /M [link:ldFdZRiNAt]",playback_app_bug,n,,,claude-draft (review each row)
g013,2518461,2017-11-16 00:04:26+00:00,random_uniform,I wish @115888 had mixtapes,I wish had mixtapes,Hey! We’ve got some info about mixtapes here: [link:MEjmIRL2eB],feature_request_feedback,n,,,claude-draft (review each row)
g014,2246119,2017-11-10 21:20:08+00:00,random_uniform,"@SpotifyCares Your organizational system has accidentally confused the traditional Spanish-language band ""Los Campesinos"" with the British alternative band ""Los Campesinos!"" Just FYI.","Your organizational system has accidentally confused the traditional Spanish-language band ""Los Campesinos"" with the British alternative band ""Los Campesinos!"" Just FYI.",Hey there! Can you tell us exactly what particular tracks you're referring to? We'll take look backstage,content_availability,n,,,claude-draft (review each row)
