item_id,customer_raw,customer_clean,intent,escalate,escalate_reason
g104,@SpotifyCares Can you please help me with this? Page to change my Visa stays on loading but nothing appears and my account is about to block... https://t.co/RLxK1C271n,Can you please help me with this? Page to change my Visa stays on loading but nothing appears and my account is about to block...,,,
g193,@SpotifyCares @115888 why isn’t my premium working please and thank you,why isn’t my premium working please and thank you,,,
g035,@SpotifyCares Nothing is solved if I send you the link. Your service is still leaking customer informations.,2: Can you DM it to us instead? It'd be helpful if you could also send us the link where you found this. We'll be waiting /JE,,,
g032,@115888 @117153 any news on iPhone X support? Thank you!!,any news on iPhone X support? Thank you!!,,,
g158,"@115888 when the login says ""username or email"" you'd think we could just use the email right? Nope. You have to use your username. Thanks.","when the login says ""username or email"" you'd think we could just use the email right? Nope. You have to use your username. Thanks.",,,
g046,@SpotifyCares heyyyy! Can you create a playlist for me?,heyyyy! Can you create a playlist for me?,,,
g010,Why pay for @115888 when it wont let me log on !!!!!!,Why pay for when it wont let me log on !!!!!!,,,
g040,@SpotifyCares hello. My app won't connect to Sonos. Tried reauthorizing the account and reinstalling the app.,hello. My app won't connect to Sonos. Tried reauthorizing the account and reinstalling the app.,,,
g144,@SpotifyCares I need help please,I need help please,,,
g078,@SpotifyCares hi! I got charged for a regular spotify premium when I have the student one how can I fixed it?? Thanks in advance,hi! I got charged for a regular spotify premium when I have the student one how can I fixed it?? Thanks in advance,,,
g125,@115888 Hi I've had premium since the first second i used spotify plz dont waste money advertising to me i pay u for u to use thst money to give me dank tunez ty,"Premium gives you unlimited skips. Plus you can play anywhere, even without wifi. Try it free.",,,
g148,I still wish the @115888 iPad app was more like the desktop version and not the phone version. It just looks and feels really bad to use. Not how you make a tablet app at all.,I still wish the iPad app was more like the desktop version and not the phone version. It just looks and feels really bad to use. Not how you make a tablet app at all.,,,
g095,@115888 we need you here in israel https://t.co/Zpa3pWOYsx,we need you here in israel,,,
g094,"@115888 @SpotifyCares Hey, do you know if other music services delete your whole library as often as Spotify does?","Hey, do you know if other music services delete your whole library as often as Spotify does?",,,
g007,@116130 @SpotifyCares Thank you LP whoever you are for getting me back online so quickly! This is how customer care should be! https://t.co/O3nKSlAD7o,Thank you LP whoever you are for getting me back online so quickly! This is how customer care should be!,,,
g129,"@SpotifyCares if i have premium account, and i wanna join family account, can i use the same account still or have to create a new one?","if i have premium account, and i wanna join family account, can i use the same account still or have to create a new one?",,,
g020,I'm pissed because someone hacked my @115888 and now all my playlists are gone. #trash,I'm pissed because someone hacked my and now all my playlists are gone. #trash,,,
g082,@115888 please for the love of God change your own adverts; I've heard the same shite ones 100s of times and they're so fucking annoying!,please for the love of God change your own adverts; I've heard the same shite ones 100s of times and they're so fucking annoying!,,,
g109,@SpotifyCares I am being charged $9.99 per month. I did not sign up for this service. Please advise!! Jim,I am being charged $9.99 per month. I did not sign up for this service. Please advise!! Jim,,,
g031,"Hello @115888,

as a member since the platform opened in the US i find it insulting that i’m constantly being fed soundcloud rap in your playlists on the browse section. I am taking back my music library. I dont want to look at Lil Pump when I open spotify.","Hello , as a member since the platform opened in the US i find it insulting that i’m constantly being fed soundcloud rap in your playlists on the browse section. I am taking back my music library. I dont want to look at Lil Pump when I open spotify.",,,
g186,@117168 How do I stop this annoying Spanish @1247 ad from playing after every other song? My settings are English. Make it stooppp!,How do I stop this annoying Spanish ad from playing after every other song? My settings are English. Make it stooppp!,,,
g150,@SpotifyCares I need help cant pay for premium no matter what card i use.,I need help cant pay for premium no matter what card i use.,,,
g115,"@SpotifyCares this is the second time Spotify deleted ALL my music, flicking all download switches to 'off'. I'm talking 30GB of music. Why?","this is the second time Spotify deleted ALL my music, flicking all download switches to 'off'. I'm talking 30GB of music. Why?",,,
g055,@SpotifyCares I got charged twice and can’t talk to a person about it. Please help me.,I got charged twice and can’t talk to a person about it. Please help me.,,,
g066,spotify keeps bullshitting me im so done,spotify keeps bullshitting me im so done,,,
