item_id,customer_raw,customer_clean,intent,escalate,escalate_reason,labeler
g104,@SpotifyCares Can you please help me with this? Page to change my Visa stays on loading but nothing appears and my account is about to block... https://t.co/RLxK1C271n,Can you please help me with this? Page to change my Visa stays on loading but nothing appears and my account is about to block...,billing_subscription,y,"Payment method update issue, requires account lookup to check billing status.",Siddharth Rao
g193,@SpotifyCares @115888 why isn’t my premium working please and thank you,why isn’t my premium working please and thank you,billing_subscription,y,Needs account lookup to check premium subscription status,Siddharth Rao
g035,@SpotifyCares Nothing is solved if I send you the link. Your service is still leaking customer informations.,2: Can you DM it to us instead? It'd be helpful if you could also send us the link where you found this. We'll be waiting /JE,account_access,y,"User is alleging a data leak and compromised customer information, which puts account security in question.",Siddharth Rao
g032,@115888 @117153 any news on iPhone X support? Thank you!!,any news on iPhone X support? Thank you!!,feature_request_feedback,n,General feature inquiry that can be answered publicly with a standard response.,Siddharth Rao
g158,"@115888 when the login says ""username or email"" you'd think we could just use the email right? Nope. You have to use your username. Thanks.","when the login says ""username or email"" you'd think we could just use the email right? Nope. You have to use your username. Thanks.",account_access,n,General complaint about the login process; can be addressed publicly without requiring sensitive account information.,Siddharth Rao
g046,@SpotifyCares heyyyy! Can you create a playlist for me?,heyyyy! Can you create a playlist for me?,other,n,"General inquiry, no account lookup or sensitive info needed.",Siddharth Rao
g010,Why pay for @115888 when it wont let me log on !!!!!!,Why pay for when it wont let me log on !!!!!!,account_access,y,Needs account lookup to investigate login failure,Siddharth Rao
g040,@SpotifyCares hello. My app won't connect to Sonos. Tried reauthorizing the account and reinstalling the app.,hello. My app won't connect to Sonos. Tried reauthorizing the account and reinstalling the app.,playback_app_bug,n,"Standard troubleshooting for speaker integration, no account security or billing involved.",Siddharth Rao
g144,@SpotifyCares I need help please,I need help please,unhandleable,y,"No actionable content provided, requires human to ask for details",Siddharth Rao
g078,@SpotifyCares hi! I got charged for a regular spotify premium when I have the student one how can I fixed it?? Thanks in advance,hi! I got charged for a regular spotify premium when I have the student one how can I fixed it?? Thanks in advance,billing_subscription,y,"Incorrect charge for regular premium instead of student, needs account lookup.",Siddharth Rao
g125,@115888 Hi I've had premium since the first second i used spotify plz dont waste money advertising to me i pay u for u to use thst money to give me dank tunez ty,"Premium gives you unlimited skips. Plus you can play anywhere, even without wifi. Try it free.",feature_request_feedback,n,"General feedback about marketing and advertising, no account action required.",Siddharth Rao
g148,I still wish the @115888 iPad app was more like the desktop version and not the phone version. It just looks and feels really bad to use. Not how you make a tablet app at all.,I still wish the iPad app was more like the desktop version and not the phone version. It just looks and feels really bad to use. Not how you make a tablet app at all.,feature_request_feedback,n,"General feedback on app design, can be replied to publicly with a standard feedback acknowledgment.",Siddharth Rao
g095,@115888 we need you here in israel https://t.co/Zpa3pWOYsx,we need you here in israel,content_availability,n,Standard macro response for country availability.,Siddharth Rao
g094,"@115888 @SpotifyCares Hey, do you know if other music services delete your whole library as often as Spotify does?","Hey, do you know if other music services delete your whole library as often as Spotify does?",playback_app_bug,n,Sarcastic complaint about a recurring bug (library disappearing); can be addressed publicly with standard troubleshooting or empathy.,Siddharth Rao
g007,@116130 @SpotifyCares Thank you LP whoever you are for getting me back online so quickly! This is how customer care should be! https://t.co/O3nKSlAD7o,Thank you LP whoever you are for getting me back online so quickly! This is how customer care should be!,feature_request_feedback,n,"User is just expressing thanks and praise, no further action or account lookup required.",Siddharth Rao
g129,"@SpotifyCares if i have premium account, and i wanna join family account, can i use the same account still or have to create a new one?","if i have premium account, and i wanna join family account, can i use the same account still or have to create a new one?",family_plan,n,General FAQ about joining a family plan that can be answered publicly without account lookup.,Siddharth Rao
g020,I'm pissed because someone hacked my @115888 and now all my playlists are gone. #trash,I'm pissed because someone hacked my and now all my playlists are gone. #trash,account_access,y,Account security is in question due to a reported hack.,Siddharth Rao
g082,@115888 please for the love of God change your own adverts; I've heard the same shite ones 100s of times and they're so fucking annoying!,please for the love of God change your own adverts; I've heard the same shite ones 100s of times and they're so fucking annoying!,feature_request_feedback,n,"General feedback about ads, can be acknowledged publicly with a standard response.",Siddharth Rao
g109,@SpotifyCares I am being charged $9.99 per month. I did not sign up for this service. Please advise!! Jim,I am being charged $9.99 per month. I did not sign up for this service. Please advise!! Jim,billing_subscription,y,"Unauthorized charge, needs account and billing lookup",Siddharth Rao
g031,"Hello @115888,

as a member since the platform opened in the US i find it insulting that i’m constantly being fed soundcloud rap in your playlists on the browse section. I am taking back my music library. I dont want to look at Lil Pump when I open spotify.","Hello , as a member since the platform opened in the US i find it insulting that i’m constantly being fed soundcloud rap in your playlists on the browse section. I am taking back my music library. I dont want to look at Lil Pump when I open spotify.",feature_request_feedback,n,"General feedback about recommendations, can be acknowledged publicly.",Siddharth Rao
