thread_id,category,root_text,brand_text,is_real_resolution
1758255,policy_answer,is support for the new iPhone X screen coming soon?,"Hi there! We don't have any info on this right now, but rest assured your feedback has been noted. We'll pass it on to the right team",
2484429,policy_answer,do you know when you’ll be updating your iOS app to properly fit the iPhone X screen?,"Hey there! We're afraid we don't have any info to share on this right now, but we’re working on it as we speak. Stay tuned 🙂",
1203640,policy_answer,˙˙˙ƃuᴉɯoɔ sᴉ ǝƃuɐɹʇs ƃuᴉɥʇǝɯoS,Hey there! We're launching in new countries as often as possible. Be sure to add your email at [link:X8DVSX9QgM],
1688977,policy_answer,can I pay with a pre paid debit ??,"Hi, help's arrived! You can find out what payment methods are available in your country by logging into your...",
2432997,fix_steps,guys I don’t know if it’s you but “Around U” doesn’t even stream anymore and that makes me sad. Help?,Sorry to hear that! Check out the steps under “Downloads unexpectedly removed” at [link:38J7tFlIBF]. They should help with this,
2774600,fix_steps,is having glitches with the main menu button and it’s forever saying I don’t have songs saved. Is this a glitch that we’re planning to fix or..? #TryingToJam #Spotify,You got it! Just follow the steps at [link:EqisDMwZAT] if you need any help. Let us know how it goes,
2552655,fix_steps,web player is not working in any of the 4 browsers I've tried. I need my music to work!,"Can you let us know your device's operating system? By the way, have you tried restarting your device and router?",
1126879,fix_steps,apparently i listened to lcd soundsystem too much because now refuses to play it anymore... what should i do?,"Thanks for the additional info. Can you try logging out, restarting the app, then logging back in? Let us know how it goes",
2976805,policy_answer,put HELLBOY on ya shit! I’m in my bag and i don’t have that album,Hey there! It all boils down to licensing agreements. We have some info about missing content here: [link:1dgftcFtzc],
2621382,fix_steps,"Help, Gabriel Iglesias will not leave from my All Artists.","Could you try restarting your device, logging out and in, and unfollowing the artist again? Does that help?",
1654942,policy_answer,are you also releasing Taemin’s new album #TAEMIN2ndalbumMOVE today!? 🙏🏻 EU fans need it! ^^,"Hi there! We’ll have it available to you as soon as it’s available to us: [link:0i8GpimuDa]. Anything else, let us know",
1738451,policy_answer,Still no parental controls? 🙁,"Hey there! We don't have any info on this right now, but you can show your support for the idea here: [link:3jHA9etigY]",
2210895,fix_steps,I opened spotify on my Android and It looks like this: Never been zoomed in so much before,Thanks! Does logging out > restarting your device > logging back in make any difference?,
1382291,fix_steps,"Hi. Is there any reason why I wouldn't be able to play any St. Vincent songs? Premium sub, regardless of device/on or offline","Thanks. Can you try logging out, restarting your devices, then logging back in? Fingers crossed that'll do the trick",
403699,policy_answer,Whats up with the app speed? Takes minutes for playlists/Albums to load on iOS apps on iPhone 7& iPad #SlowMoMusic,"Nice! We don't have any info to share right now, but we'll post updates on that when a fix is ready. Anything else, let us know",
1215738,policy_answer,"love what you're doing, but when can we play all playlists in a folder on mobile and Xbox? Love that feature on desktop.",Hi there! We have some info about this here: [link:GDXNemzdFq],
2488834,fix_steps,"My music stops playing randomly in the middle of a song. The only way to prevent this if i️ stay on the spotify app. Can you fix this for me, i’ve had this problem for a few week.",Thanks for that info. Can you try the steps here for us: [link:EqisDMwZAT]? They should help with this. Let us know how it goes,
654614,policy_answer,put back the songs on by netnobody or contact him. This is inexcusable,"Hi there! We’d love to have all of their stuff available, but we have some info about content here: [link:MEjmIRL2eB]. Give us a shout if you need anything else",
233154,policy_answer,MacOS client says my library is full. Are you kidding me? Any way around this? Spotify's appeal is its limitlessness :-(,"If you feel that isn't enough, you can show your support by voting for the idea to increase the 10,000 limit: [link:8OOl8B2i69]",
848543,policy_answer,tolong bgd y,"Hi! We can help out in English here on Twitter, but we also have Indonesian support via email at [link:ZgU70TbP8M]",
1337469,policy_answer,"halo min, untuk channel pembayaran spotify premiumnya bisa di tambahin jaringan Indomaret?","Hey! We can help out in English via Twitter, but we also have Indonesian support via email at [link:ZgU70TbP8M]",
508816,fix_steps,your mac app keeps crashing my mac! HELP!!!!,"Hmm, that's odd. In this case, we'd suggest that you do a clean reinstall. You can follow the steps here: [link:vNY2SFlp5h]. Let us know how it goes",
1131554,policy_answer,Guys wtf why frank ocean's endless is not on spotify?,"We’d love to have all of his stuff available, but we have some info about content here: [link:0i8GpimuDa]",
1508816,fix_steps,Why does my stop playing once I open/refresh my Twitter?,Hey Fatima! That's not cool. Does logging out > restarting the device > logging back in help? Keep us posted,
1983324,policy_answer,why didn't we get harry singing just a little bit of your heart on,Hey there! We’ll have it available to you as soon as it’s available to us. More info about Spotify content here: [link:0i8GpimuDa],
1957245,fix_steps,Why does your iOS app all of a sudden decide that my downloads have to be re-downloaded? Irritating! I have premium!,"Hey Howard, help's here! Can you check the steps under “Downloads unexpectedly removed” at [link:38J7tFlIBF]. We'll be here",
1803052,policy_answer,Put Acid Rap on Spotify please,"Hi Conor. We’d love to have all of his stuff available, but we have some info about content here: [link:0i8Gpi4TeA]",
1049478,fix_steps,why has my premium account now deleted all my songs (no offline access) 3 times in 1 week?,"Hey, sorry to hear that! Check out the steps under “Downloads unexpectedly removed” at [link:38J7tFlIBF]. Hope this helps",
1102972,fix_steps,hello I've been trying to sign up for a student account. Everytime I get to the spot where it says to verify that I am a stu..,"Hi there. Don't worry, help's here. Can you try using a different browser or an incognito window instead? Let us know how it goes",
653562,policy_answer,Please makes this happen,"Hey there! We're afraid this isn't possible right now, but you can show your support for the idea here: [link:MBwzAVFBjM]",
2317234,policy_answer,When will and collab so we can instantly click songs from stories?,"Hey! We don't have any info on this yet, but you can add your vote to a similar idea at [link:5ntEVuzJ71]. Hope this helps",
301181,fix_steps,"Pomp and Circumstance cuts off to silence at 4:02 ( ) Windows 10, Spotify program installed. Thanks!","Hmm. Is this happening over WiFi, mobile data, or offline mode? We'll dig deeper",
1507612,fix_steps,how come the OSX client no longer connects to Sonos? (but the Sonos app does),Hmm. We suggested a reinstall as it should fix up any issues with the one currently installed. Keep us posted!,
1705679,policy_answer,are you guys going to bring back My Year in Spotify 2017?!??!?,"Hey Selina! We don't have any info on this right now, but we'll let the right team know it's something you'd like to see",
2349658,policy_answer,Please make the standard player the same as the new one for Time Capsule! Love it!,Hey Courtland! It's great to hear your thoughts about this. You can vote for the official idea here: [link:qAgTpDY73z],
2509512,policy_answer,"dudes, fix your shit and put reputation on spotify, i've been waiting for like, a week.","Hey there! Taylor Swift's 'Reputation' isn't available to stream just yet – stay tuned. For now, check out the singles: [link:3h0TnPWP0c]",
2045289,policy_answer,Obviously a lot of new Apple Watch customers out there. Also a lot of disappointed customers 😳,Hey there! Check out the official idea and add your vote to let our devs know it's something you'd like to see: [link:SEK4E4gi22],
93906,policy_answer,Unli skips. Unli fun. 3 months of Premium for ₱9.,"Sorry for the confusion! At the moment only recurring payment forms such as credit, debit or PayPal are available for this offer. Give us a shout if you need anything else",
1652627,fix_steps,is there any way to fix audio distortion of any sort?,Thanks. Does logging out and restarting your device help? Let us know how it goes,
2558833,policy_answer,Can I filter my saved music based on genre? Would love to be able to look at specific genres at a given time,Hey Emma! We can see how that’d be useful! You can vote for the official idea here: [link:sZHi9bQEQv] 🎶,
578818,policy_answer,"C'mon guys, #ParentalControl is not long overdue. I like Spotify but can't have my children hearing some of your content.","Hey! We hear you. To help make it happen, we’d recommend showing your support for the idea here: [link:rJd7pDKZFz]",
980206,policy_answer,Chance the Rapper's Acid Rap pleaseee 😢,Hey there! We’ll have it available to you as soon as it’s available to us! [link:0i8GpimuDa],
2493994,policy_answer,"It would be great as a college student who studies German, it would be amazing to have more access to Deutsche Musik on !",We'd love to have all of them on Spotify! Hopefully we will in the future. Check this out: [link:MEjmIRL2eB],
1639601,fix_steps,sharing no longer works on android. press share and brings me back to Spotify home page.,Thanks. Could you try restarting your mobile? Is it also happening across all of your devices?,
1998820,policy_answer,Hey what's your excuse for not having Acid Rap?,"Hi Eric! Sometimes agreements are ongoing, or can't be reached with the content provider. More info here: [link:MEjmIRL2eB]",
1265661,policy_answer,any plans for adding an explicit track filter? I'm sick of staying on edge to skip tracks whenever the kids are in the car.,"Hey! To help make it happen, we’d recommend showing your support for the idea in our Community here: [link:CdI1SY9KZE]",
319224,policy_answer,I need 's mash up with Kurt Hugo Schneider on pleaseeee 😩🙏🏿,Hi Jeorge! We’ll have it available to you as soon as it’s available to us. More info here: [link:0i8GpimuDa],
675313,policy_answer,"Hey , my account got hacked, email address changed. I wrote you an email and haven't heard from you yet. Will you reply before Christmas?",Hey Matěj! We’re sorry to hear that. Just DM us the email address you contacted us from and we'll help you out as soon as possible /BI [link:ldFdZRiNAt],
873998,policy_answer,can you guys please fix your Roku app? lol it's pretty terrible.,Got it. We have some info about the Spotify app on Roku here: [link:titMn0j3Im]. Give us a shout if there's anything else,
853071,fix_steps,Why can’t I control Spotify from the iPhone control center anymore? I have this setting turned on.,Got it! That's not cool. Does logging out > restarting the device > logging back in help? Keep us posted,
1228875,policy_answer,So the Spotify video for wolves is exclusive for us... you’re kidding right?!,"Hey Anna! Currently, the video is only available in the US, but you can enjoy the single here: [link:EjUrcbIcfl]",
1842973,policy_answer,"Hi, is there any update on Spotify for WebOS 3? It's been almost 5 months!","Hey Alex! We don't have any info on this right now, but we'll let the right team know it's something you'd like to see",
2597237,policy_answer,I helped yall earlier dm me with that #revival release date 👌🏻,"We're afraid we don't have any info to share. Not to worry, we’ll have it available to you as soon as it’s available to us: [link:MEjmIRL2eB]",
1665426,policy_answer,ITS ON SPOTIFY,"Fingers crossed we'll be able to have it soon, but there's info about Spotify content here: [link:0i8GpimuDa]",
2012709,fix_steps,Thank u for undownloading alllll my music right before a 5 hour coach journey 👌🏻,Hey there! Sorry to hear that. Check out the steps under “Downloads unexpectedly removed” at [link:38J7tFlIBF]. This should help,
2746296,fix_steps,"thank you very much!! my spotify app fast forward & stop on its own idk why, it happens also to my friend... 😀","Thanks for the info. Does logging out then back in help? If it doesn't, could you try restarting the device by holding Home + Lock for 10 seconds? Let us know how it goes",
207223,policy_answer,I've noticed you can pay premium as a one off yearly payment can you do the same with the family one if so what's the cost?,Hey Kevin! It's only possible to pay for a Premium for Family subscription every month. Don't worry - we'll pass your feedback on...,
1884480,policy_answer,where is the “I don’t like this song/band” option for the discover weekly? My shit is getting stale,Sorry to hear Discover Weekly wasn’t to your liking this week! At the moment this feature is unavailable but we'll pass your feedback on,
2716533,policy_answer,"Hey , would be great if you could increase the podcast selection in the app. Some recommendations are #DragonTalk and #CriticalRolePodcast. Also throw in some if you're feeling generous.","Hey Earl! Fingers crossed we'll be able to have them soon, but there's info about Spotify content here: [link:0i8GpimuDa]",
311709,policy_answer,is it possible if i ask this album to added on Spotify?,"Hey there! Fingers crossed we'll be able to have it soon, but there's info about Spotify content here: [link:0i8GpimuDa]",
483973,fix_steps,". Guys, can you please stop deleting all my offline music. It’s really, really annoying. We’ve always been fine, now I just don’t know.","Sorry to hear that, Hal! Check out the steps under “Downloads unexpectedly removed” at [link:EidIERWgLX]. They should help with this",
80943,policy_answer,IS MISS YOU ALREADY AVAILABLE ON SPOTIFY??,Hey! We’ll have it available to you as soon as it’s available to us. [link:1dgftcFtzc],
654546,policy_answer,I listen to podcasts on Spotify on multiple devices and it's a little annoying that the episodes you have listened to aren't shown as such on each device. Is that something that you have considered?,"Hey Vic! We don't have any info on this right now, but we'll let the right team know it's something you'd like to see",
2319497,policy_answer,Reputation needs to be released on ASAP.,"Hi! Taylor Swift's 'Reputation' isn't available to stream just yet – stay tuned! For now, check out the singles: [link:3h0TnPWP0c]",
2076537,policy_answer,Yo the ability to drag what you're currently playing into the queue to listen again later seems to have gone.,"Hey Matt, that isn't possible anymore. You can still add the currently playing track back to queue by clicking '...'. Hope this helps",
2499447,fix_steps,"I dl'ed some albums this morning, but they are now not available. Any ideas why? I'm a Premium member on an Android phone.",Sorry to hear that! Check out the steps under “Downloads unexpectedly removed” at [link:38J7tFlIBF]. They should help with this,
606303,policy_answer,When will multiroom be available for Amazon Echo products?,"Got it. Rest assured, you guys will be in the know as soon as we receive any updates about it. Feel free to tweet us if there's anything else",
1580667,policy_answer,can u please put Lisa “Left Eye” Lopes solo stuff out. Even her stuff under the name N.I.N.A too! Thanks,"Hey! We’d love to have all of their stuff available, but we have some info about content here: [link:0i8GpimuDa]",
966763,policy_answer,"hi guys, just wanted to know how availability of certain albums on certain regions is determined. Is it the label or you?",Hey! We have some info about content here: [link:0i8GpimuDa]. Let us know if you have other questions,
1035429,fix_steps,a few days ago Spotify decided to download 1.5 GB of songs on cellular even though I have it set to only download on Wi-Fi.,"Hmm, that's odd. Could you check if ""Download using cellular"" is toggled off? You can follow the steps here: [link:WSjJgGAmPy]",
2404020,fix_steps,when will their be a update to support the iPhone X? Mine has been having a hard time connecting and running slow :(,Hmm... Could you check if you have any pending iOS updates? Does updating to the latest version help?,
